DHEA,dhea,C0011185
Valisone cream,valisone cream,C0724173|C0700385
induced,induced,C0205263
corticosteroids plus pulse cyclophosphamide alone,corticosteroids pulse cyclophosphamide,C0001617|C0232117|C0010583
over-selected,over-selected,C0205136
in-hospital and post-hospital data ),in-hospital post-hospital data,C0019994|C0687676|C1511726
sensory re-training exercises,sensory re-training exercises,C0445254|C0556581|C0015259
Intravenous regional anaesthesia,intravenous regional anaesthesia,C0348016|C0205147|C0002903
"hexamethylmelamine , adriamycin , and cyclophosphamide",hexamethylmelamine adriamycin cyclophosphamide,C0019453|C0085752|C0010583
low doses of aspirin,low doses aspirin,C0205251|C0178602|C0004057
parent utterances,parent utterances,C0030551|G0000000
cangrelor,cangrelor,C1121991
pre-operative short-term pulmonary rehabilitation,pre-operative short-term pulmonary rehabilitation,C0445204|C0443303|C0024109|C0034991
neither,NULL,NULL
CMZ ( 600 mg/d ),cmz 600 mg/d,G0000000|C1442061|C0439422
oral iron therapy,oral iron therapy,C0442027|C0302583|C0039798
Heparin plus dipyridamole,heparin dipyridamole,C0019134|C0012582
Intravenous magnesium sulfate,intravenous magnesium sulfate,C0348016|C0024467|C0038720
emergency coronary angioplasty,emergency coronary angioplasty,C0013956|C0018787|C0162577
maternal glucose infusion,maternal glucose infusion,C2347083|C0017725|C0574032
"( cytosine arabinoside , daunorubicin )",cytosine arabinoside daunorubicin,C0010843|G0000000|C0011015
parents and teachers,parents teachers,C0030551|C0221457
evidence-based prescription drug label,evidence-based prescription drug label,C3887511|C0033080|C0013227|C0181496
quinidine,quinidine,C0034414
social phobia,social phobia,C0728831|C0349231
ergometrine,ergometrine,C0014704
noninduction,noninduction,G0000000
combined strength and stretching home exercise regimen,combined strength stretching exercise regimen,C0205195|C0237897|C0600080|C0015259|C0040808
intraoperative valve orientation,intraoperative valve orientation,C0456904|C0184252|C0029266
"irradiated drug-containing ( ofloxacin , acetyl cysteine and reduced glutathione ) porcine-cornea",irradiated drug-containing ofloxacin acetyl cysteine reduced glutathione porcine-cornea,C1522449|C0013227|C0028902|G0000000|C0010654|C0392756|C0017817|C0039005
two consecutive overnight polysomnographies,consecutive overnight polysomnographies,C1707491|C0439583|C0162701
soluble fiber-rich whole oat cereals,soluble fiber-rich oat cereals,C1749467|C0012173|C0028753|C0007757
clobazam,clobazam,C0055891
20-second stretching,20-second stretching,C0450371|C0600080
Binary choices,binary choices,C1706942|C0008300
bone marrow transplantation ( BMT ),bone marrow transplantation bmt,C0262950|C0086590|C0040732|C0005961
Dietary Approaches to Stop Hypertension ( DASH ) diet,dietary approaches hypertension dash diet,C0012155|C0449445|C0020538|C2827624|C0012155
"Three high-pressure , rapid-compression devices and two standard , low-pressure",high-pressure rapid-compression devices standard low-pressure,C0205250|C0456962|C0025080|C1442989|C0205251
imiquimod 5 % cream,imiquimod 5 % cream,C0165032|G0000000|G0000000|C0700385
"field , total lymphoid , or whole body irradiation",field total lymphoid body irradiation,C0440042|C0439175|C1518071|C0242821|C1282930
diets containing WCGF,diets wcgf,C0012155|G0000000
continuous positive airway pressure ( CPAP ),continuous positive airway pressure cpap,C0549178|C0439178|C0178987|C0033095|C0199451
verapamil plus lithium,verapamil lithium,C0042523|C0023870
nitric-oxide-generating system,nitric-oxide-generating system,C0028128|C0449913
or infliximab combined with MTX,infliximab combined mtx,C0666743|C0205195|C0025677
mild physical exercise,mild physical exercise,C2945599|C0031809|C0015259
liver resection techniques of liver metastases,liver resection techniques liver metastases,C0023884|C0015252|C0025664|C0023884|C0027627
Fibrin application,fibrin application,C0015982|C0185125
radiochemotherapy,radiochemotherapy,C0436307
isotonic & isometric training,isotonic isometric training,G0000000|G0000000|C0040607
ischaemic preconditioning,ischaemic preconditioning,C0475224|C0871117
Transverse paddle orientation,transverse paddle orientation,C0205106|G0000000|C0029266
insulin therapy,insulin therapy,C0021641|C0039798
supportive-expressive group therapy,supportive-expressive therapy,C1521721|C0039798
PUVA alone,puva,C0853073
histamine,histamine,C0019588
preventive pharmacological strategies,preventive pharmacological strategies,C0445202|C0031330|C0679199
30 mg isosorbide dinitrate ( ISDN ) or placebo,30 isosorbide dinitrate isdn placebo,C0450371|C0022251|G0000000|C0022252|C0032042
amino acids,amino acids,G0000000|C0001128
colchicine,colchicine,C0009262
haloperidol ( HAL ),haloperidol hal,C0018546|C0720810
HbOC,hboc,G0000000
posterior capsulectomy,posterior capsulectomy,C0205095|C0395522
exercise treatment,exercise treatment,C0015259|C0039798
Laser systems,laser systems,C0023089|C0449913
faropenem daloxate treatment,faropenem daloxate treatment,C0541153|G0000000|C0039798
physiological pacing system .,physiological pacing system,C0205463|C0562458|C0449913
"telcagepant ( 150 mg , 300 mg ) zolmitriptan 5 mg , or placebo",telcagepant 150 300 zolmitriptan 5 placebo,C2713633|C1442061|C1442061|C0528166|G0000000|C0032042
human menopausal gonadotrophin ( HMG ),human menopausal gonadotrophin hmg,C0086418|C0025320|C0018061|G0000000
late replacement,late replacement,C0205087|C0035139
lymph node sampling,lymph node sampling,C0024202|C0746922|C0441621
pure-cut current,pure-cut current,C2247561|C0521116
ropivacaine-4,ropivacaine-4,C0073571
visual display on a computer screen while listening to a concurrent auditory input,visual display computer screen listening concurrent auditory input,C0234621|C1705417|C0009622|C0220908|C0004309|C0205420|C0439825|C1708517
antiviral therapy,antiviral therapy,C0003451|C0039798
6 cycles of either estradiol ( 2mg ) +trimegestone ( 0.5mg ) ( T-group ),6 cycles estradiol 2mg +trimegestone 0 5mg t-group,G0000000|C1511572|C0014912|G0000000|C0628822|G0000000|G0000000|C0036669
auditory integrative training ( AIT ),auditory integrative training ait,C0439825|C1158478|C0040607|C1426025
"fentanyl ( 2 microg/kg ) , midazolam ( 0.05 mg/kg ) and propofol",fentanyl 2 microg/kg midazolam 0 05 mg/kg propofol,C0015846|G0000000|C1627892|C0026056|G0000000|C0450371|C0439272|C0033487
educational program,educational program,C0587721|C1709697
operative skills ( SATOS ),operative skills satos,C1882154|C0678856|G0000000
consolidation chemotherapy,consolidation chemotherapy,C0702116|C0013216
VX-770,vx-770,C0078433
NCX-4016,ncx-4016,C1415651
plus morphine,morphine,C0026549
Combination chemotherapy,combination chemotherapy,C0205195|C0013216
treadmill,treadmill,C0184069
isotonic training ( 5BX programme ) and isometric training ( a programme of isometric exercises working all major groups of muscles ),isotonic training 5bx programme isometric training programme isometric exercises major muscles,G0000000|C0040607|G0000000|C1709697|G0000000|C0040607|C1709697|G0000000|C0015259|C0205082|C0026845
with CsA,csa,G0000000
colestipol/niacin,colestipol/niacin,C0009279
Multivariate logistic regression analysis,multivariate logistic regression analysis,G0000000|C0242415|C0684320|C0002778
autotransfused blood,autotransfused blood,G0000000|C0005767
verbascoside,verbascoside,C0101334
") lipid emulsion ( LCT , MCT , Olive-oil and Fish-oil )",lipid emulsion lct mct olive-oil fish-oil,C0023779|C0014020|C1416808|C0724624|C0069449|C0016157
Azimilide,azimilide,C0252416
learned to lace shoes whose laces and eyelets were color-coded red and white,learned lace shoes laces eyelets color-coded red white,C0023185|C0280109|C0036988|C0453991|C1707988|C0009393|C0332575|C0007457
tablet formulation,tablet formulation,C0039225|C0524527
10-day sequential regimen,10-day sequential regimen,C0450371|C1548958|C0040808
monoethylglycinexylidide ( MEG-X ),monoethylglycinexylidide meg-x,C0128915|C0024489
dobutamine,dobutamine,C0012963
Tc-99m SC,tc-99m sc,C0039411|C0282380
PBO,pbo,C0031962
"anesthetized with thiopental , fentanyl , nitrous oxide , and isoflurane .",anesthetized thiopental fentanyl nitrous oxide isoflurane,C1720436|C0039925|C0015846|C0028158|C0030015|C0022180
open appendicectomy,appendicectomy,C0003611
medium half-life benzodiazepine,medium half-life benzodiazepine,C0009458|C0018517|C0005064
250 mg of vitamin C,250 vitamin,C1442061|C0042890
parent-directed group that received intensive hours but less supervision by equally well-trained supervisors,parent-directed received intensive hours supervision equally well-trained supervisors,C0030551|C1514756|C0162425|C0439227|C0038842|G0000000|C0205170|C0403172
"short , nurse-based educational intervention",short nurse-based educational intervention,C1282927|C0028661|C0587721|C0886296
18 agents,18 agents,C0450371|C0450442
colchicine-treated,colchicine-treated,C0009262
peritoneovenous ( LeVeen ) shunting,peritoneovenous leveen shunting,G0000000|G0000000|C0813207
hormonal replacement therapy ( HRT ),hormonal replacement therapy hrt,C0458083|C0035139|C0039798|C0282402
nizatidine CR,nizatidine cr,C0085154|C0201975
smoking intervention,smoking intervention,C0037369|C0886296
PCC,pcc,C0031511
trichloroacetic acid chemical peel,trichloroacetic acid chemical peel,G0000000|C0001128|C0220806|C0237849
tonsillectomy,tonsillectomy,C0040423
befriending,befriending,G0000000
robot-assisted endoscopic thyroidectomy by the transaxillary approach,robot-assisted endoscopic thyroidectomy transaxillary approach,C3844190|C0014245|C0040145|C0442341|C0449445
dual-switch valve,dual-switch valve,C1554184|C0184252
PCI,pci,C4049621
magnetic resonance imaging ( MRI ),magnetic resonance imaging mri,C0024488|C0231881|C0011923|C0024485
ad libitum diet without walnuts for 8 weeks,ad libitum diet walnuts 8 weeks,G0000000|G0000000|C0012155|C0330971|G0000000|C0439230
triple intrathecal therapy,triple intrathecal therapy,C0205174|C1370196|C0039798
PCR,pcr,C0032520
Hypothermia,hypothermia,C0020672
peroxide gel,peroxide gel,C0031180|C0017243
PCV,pcv,C1882252
total hip arthroplasty with use of a standard transgluteal Hardinge approach ( standard group ) .,total hip arthroplasty standard transgluteal hardinge approach standard,C0439175|C0019552|C0003893|C1442989|C0444462|G0000000|C0449445|C1442989
plasmakinetic resection of prostate ( PKRP ),plasmakinetic resection prostate pkrp,G0000000|C0015252|C0033572|G0000000
cardiac transplantation,cardiac transplantation,C0018787|C0040732
receive the decision aid or a control pamphlet at the end of their first genetic counseling consultation,receive decision aid control pamphlet genetic counseling consultation,C1514756|C0679006|C0449435|C0243148|C0030258|C0017296|C0010210|C0009818
) infusion,infusion,C0574032
Argon laser trabeculoplasty,argon laser trabeculoplasty,C0003781|C0023089|C0040574
500 IU/day vitamin D,500 iu/day vitamin,C1442061|C0439465|C0042890
brushings,brushings,C0040461
microembolizations-induced HF,microembolizations-induced hf,C0205263|C0018488
combined hormones,combined hormones,C0205195|C0019932
doxorubicin-induced,doxorubicin-induced,C0013089
1100-ppm fluoride conventional sodium fluoride dentifrice twice daily,1100-ppm fluoride conventional sodium fluoride dentifrice daily,C0439187|C0016327|C0439858|C0037473|C0016327|C0011427|C0332173
PDL,pdl,G0000000
amalgam,amalgam,C0440138
sterile water injections ( SWI ),sterile water injections swi,C0021359|C0043047|C0021485|C1335840
Treatment Group,treatment,C0039798
CPAP-treated,cpap-treated,C0199451
vernakalant hydrochloride,vernakalant hydrochloride,C2001572|C1512523
atenolol-treated,atenolol-treated,C0004147
idiopathic dilated cardiomyopathy,idiopathic dilated cardiomyopathy,C0332240|C0700124|C0878544
no laparotomy,laparotomy,C0023038
Leukocyte-depleted reperfusion,leukocyte-depleted reperfusion,C0023516|C0035124
eltrombopag,eltrombopag,C1831905
hypnosis,hypnosis,C0020587
presentations of the standard,presentations standard,C0449450|C1442989
nursing interventions,nursing interventions,C0006147|C0886296
device that helps to slow breathing ( Resperate ),device helps slow breathing resperate,C0025080|C1269765|C0439834|C0004048|G0000000
General Anesthesia ( GA ),anesthesia ga,C0002903|C0016993
sensory integration interventions,sensory integration interventions,C0445254|C1158478|C0886296
Primary posterior capsulectomy,primary posterior capsulectomy,C0205225|C0205095|C0395522
iron,iron,C0302583
cimetidine,cimetidine,C0008783
waiting list control condition ( WL ),waiting list control condition wl,C1610166|C0745732|C0243148|C0012634|G0000000
dihydropyrimidine dehydrogenase inhibitory fluoropyrimidine,dihydropyrimidine dehydrogenase inhibitory fluoropyrimidine,G0000000|C0030016|C3463820|C0596581
macronutrient,macronutrient,C2346926
tibolone,tibolone,C0076660
PES,pes,C0016504
Dietary glutamine supplementation,dietary glutamine supplementation,C0012155|C0017797|C0242297
Fufang prednisone group ( mixture of prednisone and EB ),fufang prednisone mixture prednisone eb,G0000000|C0032952|C0439962|C0032952|G0000000
prophylactic transluminal balloon angioplasty,prophylactic transluminal balloon angioplasty,C0355642|C0522520|C0336867|C0162577
fish oil ( FO group ),fish oil fo,C0016163|C0028908|G0000000
controlled heated breathing tube humidifier,controlled heated breathing tube humidifier,C2587213|C0018837|C0004048|C0175730|C0181232
low fat ( 30 % of calories ) regimen,low fat 30 % calories regimen,C0205251|C0424612|C0450371|G0000000|C1556156|C0040808
TLC D-99,tlc d-99,G0000000|C0450371
embolization using an n-BCA/Tantalum Powder/Ethiodol mixture,embolization n-bca/tantalum powder/ethiodol mixture,C0013931|C0369718|C0032861|C0439962
iohexol,iohexol,C0022005
anti-retrovirals,anti-retrovirals,G0000000
pressure and electric stimuli,pressure electric stimuli,C0033095|C0013790|C0234402
educational videotapes and pamphlets,educational videotapes pamphlets,C0587721|C0042655|C0030258
behavioral plus medical intervention,behavioral medical intervention,C0004927|C0199168|C0886296
desflurane with or without ondansetron,desflurane ondansetron,C0063252|C0061851
electrical resection,electrical resection,C0013790|C0015252
vancomycin,vancomycin,C0042313
brachytherapy,brachytherapy,C0006098
combination of interferon alpha plus ribavirin,combination interferon alpha ribavirin,C0205195|C0021747|C0439095|C0035525
nortriptyline,nortriptyline,C0028420
echocardiograms and signal-averaged electrocardiograms,echocardiograms signal-averaged electrocardiograms,C0013516|C1710082|C0013798
carotid endarterectomy ( CEA ),carotid endarterectomy cea,C0741968|C0014098|C3463961
ganciclovir,ganciclovir,C0017066
paliperidone ER,paliperidone er,C0753678|C3810541
new and commercially available drugs,commercially drugs,G0000000|C0013227
dalcetrapib,dalcetrapib,C2713495
physician counseling and improvements,physician counseling improvements,C0031831|C0010210|C2986411
low-dose aspirin,low-dose aspirin,C0445550|C0004057
Three Component Model ( 3CM ),component model 3cm,C0449432|C3161035|G0000000
formoterol 18 microg,formoterol 18 microg,C0060657|C0450371|G0000000
hydroxychloroquine with prednisolone ( FIN-RACo ),hydroxychloroquine prednisolone fin-raco,C0020336|C0032950|C0230113
"receive therapeutic ETV at the time of HBV reactivation and hepatitis B surface antigen ( HBsAg ) reverse seroconversion since chemotherapy ( control group , n = 39 )",receive therapeutic etv time hbv reactivation hepatitis surface antigen hbsag reverse seroconversion chemotherapy control = 39,C1514756|C0087111|C1456409|C0040223|G0000000|G0000000|C0019158|C0205148|C0003320|C0019168|C1555029|C4042908|C0013216|C0243148|G0000000|C0450371
ketorolac ophthalmic solution,ketorolac ophthalmic solution,C0073631|C0015392|C0037633
dihydropyridine calcium antagonists,dihydropyridine calcium antagonists,C0012315|C0006675|C0243076
racemic adrenaline ( RA ),racemic adrenaline ra,C3641126|C0014563|C3538806
chemotherapy with or without Endostar,chemotherapy endostar,C0013216|C2981183
Social Recreational ( SR ) program,social recreational sr program,C0728831|C0034872|C3813610|C1709697
0.9 % saline,0 9 % saline,G0000000|G0000000|G0000000|C0036082
pindolol/clopamide,pindolol/clopamide,C1302059
systemic metronidazole plus amoxicillin ( AP+AB ),systemic metronidazole amoxicillin ap+ab,C0205373|C0025872|C0002645|C3887950
histamine H ( 2 ) -receptor antagonists ( H ( 2 ) RAs ),histamine 2 -receptor antagonists 2 ras,C0019588|G0000000|C0597357|C0243076|G0000000|C0034678
Rehabilitation including Social and Physical activity and Education,rehabilitation including social physical activity education,C0034991|C0332257|C0728831|C0031809|C0205177|C0013621
divalproex sodium,divalproex sodium,C0042291|C0037473
minimally invasive Port-Access,minimally invasive port-access,G0000000|C0205281|C0452253
Antihistamines,antihistamines,C0003360
sensory integration ( SI ),sensory integration si,C0445254|C1158478|G0000000
gum-elastic bougie,gum-elastic bougie,C0017562|C0179390
gentamicin-cefoxitin,gentamicin-cefoxitin,C0546866
simultaneously performed cognitive task,simultaneously performed cognitive task,C0521115|C0884358|C1516691|C3540678
Pancuronium,pancuronium,C0030310
multiple-pass hemoconcentration,multiple-pass hemoconcentration,C0439064|C0549409
haemodynamic,haemodynamic,C0019010
pantoprazole and digoxin,pantoprazole digoxin,C0081876|C0012265
"rioprostil , 600 micrograms once-daily orally",rioprostil 600 micrograms once-daily orally,C0085199|C1442061|C0439211|C0332173|C0442027
captopril monotherapy,captopril monotherapy,C0006938|G0000000
SsWC,sswc,G0000000
psychotherapeutic management,psychotherapeutic management,C0033978|C0001554
acetylsalicylic acid,acetylsalicylic acid,G0000000|C0001128
Cyproheptadine,cyproheptadine,C0010620
Low-intensity exercise,low-intensity exercise,C0596836|C0015259
non-directive supportive intervention ( NDSI ),non-directive supportive intervention ndsi,C1518422|C1521721|C0886296|G0000000
Antibiotics,antibiotics,C0003232
Mammograms,mammograms,C0024671
nitrous oxide ( N2O ) in oxygen,nitrous oxide n2o oxygen,C0028158|C0030015|G0000000|C0030054
placebo controlled,placebo controlled,C0032042|C2587213
develop the formulas,develop formulas,G0000000|C0489829
Paromomycin,paromomycin,C0030576
echocardiogram and radioisotopic ventriculography rest/exercise,echocardiogram radioisotopic ventriculography rest/exercise,C0013516|C0205493|C0007800|C0035253
Capsaicin,capsaicin,C0006931
histamine-free diet,histamine-free diet,C0019588|C0012155
polymorphism,polymorphism,C0032529
5-day course of CC,5-day cc,C0332173|C3538933
electromyography ( EMG ) and acceleromyography,electromyography emg acceleromyography,C0013839|G0000000|G0000000
DVMI,dvmi,G0000000
CUSA with BP,cusa bp,G0000000|C0037623
chlorhexidine-based solutions,chlorhexidine-based solutions,C0008196|C0037633
torcetrapib .,torcetrapib,C1450533
undergo a surgical oophorectomy .,undergo surgical oophorectomy,G0000000|C0543467|C0029936
transaxillary approach,transaxillary approach,C0442341|C0449445
group format,format,C1301627
control treatments,control treatments,C0243148|C0087111
therapist process,therapist process,C0871525|C1184743
Bacterial ribosomal immunostimulants,bacterial ribosomal immunostimulants,C0521009|C0035553|C0001551
a metapramine 450 mg/day antidepressant treatment,metapramine 450 mg/day antidepressant treatment,C0066057|C1442061|C0439422|C0003289|C0039798
school-based tobacco prevention program,school-based tobacco prevention program,C0036375|C0040329|C0199176|C1709697
sensory stimulation ( acupuncture ),sensory stimulation acupuncture,C0445254|C1292856|C0001299
topical corticosteroid creams,topical corticosteroid creams,C0332237|C0001617|C0700385
"F2 = 3.0 gm/dl , 60:40 ;",f2 = 3 0 gm/dl 60 40,G0000000|G0000000|G0000000|G0000000|C0017480|C0450371|C0450371
motor imagery program,motor imagery program,C1513492|C0150627|C1709697
intravenous yohimbine,intravenous yohimbine,C0348016|C0724441
conventional haemorrhoidectomy,conventional haemorrhoidectomy,C0439858|C0019108
oral dose of pantoprazole ( 40 mg ),oral dose pantoprazole 40,C0442027|C0178602|C0081876|C0450371
task,task,C3540678
"high protein , low carbohydrate diet",protein low carbohydrate diet,C0033684|C0205251|C0007004|C0012155
hydrocortisone,hydrocortisone,C0020268
encountered the no extra prompt condition in which color codes could no longer be depended upon to solve the position discriminations required to lace properly,encountered extra prompt condition color codes depended solve position discriminations required lace properly,C0545082|G0000000|C0871157|C0012634|C0009393|C0919279|C0725813|G0000000|C0733755|C0012632|C1514873|C0280109|G0000000
angioplasty balloon,angioplasty balloon,C0162577|C0336867
interdental hygiene,interdental hygiene,C0442104|C0020405
sodium oxybate ( SXB ),sodium oxybate sxb,C0037473|G0000000|G0000000
proton pump inhibitors ( PPIs ),proton pump inhibitors ppis,C0033727|C0182537|C0243077|C0358591
intramammary tilmicosin,intramammary tilmicosin,C0442116|C0076681
surgical drainage,surgical drainage,C0543467|C0012621
angiotensin converting enzyme ( ACE ) inhibitors,angiotensin converting enzyme ace inhibitors,C0003018|G0000000|C0014442|C1452534|C0243077
maternal diets with aberrant protein : carbohydrate ratios during gestation,maternal diets aberrant protein carbohydrate ratios gestation,C2347083|C0012155|C0443127|C0033684|C0007004|C0456603|C0032961
waiting room screening questionnaire,waiting screening questionnaire,C1610166|C0220908|C0034394
Telephone,telephone,C0039457
Citrated plasma was obtained before and after 1 and 2 weeks of exercise : tPA release was assessed by a 10 min venous occlusion ( VO ) test,citrated plasma 1 2 weeks exercise tpa release assessed 10 min venous occlusion vo test,C0008857|C0032105|G0000000|G0000000|C0439230|C0015259|C0032143|C0030685|C1516048|C0450371|C0702093|C0042449|C0011382|G0000000|C0022885
only water,water,C0043047
three dosage-prediction,dosage-prediction,C0178602
PLC,plc,G0000000
DTkid training,dtkid training,G0000000|C0040607
PLD,pld,C0044369
Estroprogestins,estroprogestins,C1530426
Hydrocortisone,hydrocortisone,C0020268
serotonin2A-dopamine D2 antagonist risperidone,serotonin2a-dopamine d2 antagonist risperidone,C0013030|C3538936|C0231491|C0073393
"tinidazole , tetracycline , bismuth",tinidazole tetracycline bismuth,C0040263|C0039644|C0005642
classical radical hysterectomy,classical radical hysterectomy,C0439858|C0302912|C0020699
supplementation with folic acid,supplementation folic acid,C0242297|G0000000|C0001128
"alendronate , a primary amino bisphosphonate",alendronate primary amino bisphosphonate,C0102118|C0205225|G0000000|C0012544
the cap technique with prior submucosa injection of a dilute saline solution of epinephrine,cap technique prior submucosa injection dilute saline solution epinephrine,C0179586|C0449851|C0332152|C0225344|C0021485|C1720119|C0036082|C0037633|C0014563
tipifarnib,tipifarnib,C1176289
Procarbazine .,procarbazine,C0033223
spinal-epidural vs. epidural,spinal-epidural epidural,C0521329|C0228134
in-hospital data,in-hospital data,C0019994|C1511726
SrRan,srran,G0000000
surgical deleulking,surgical deleulking,C0543467|G0000000
individual interview off the worksite,individual interview worksite,C0027361|C0021822|C0162579
school-based primary prevention psychological program,school-based primary prevention psychological program,C0036375|C0205225|C0199176|C0205486|C1709697
ragweed,ragweed,C0331432
spinal-epidural anesthetic technique,spinal-epidural anesthetic technique,C0521329|C0002932|C0449851
"delivering structured fundamental movement skill activities , increasing physical activity opportunities , increasing staff role modelling , providing children with a physical activity promoting indoor and outdoor environment and limiting children 's small screen recreation and sedentary behaviours",delivering structured fundamental movement skill activities increasing physical activity opportunities increasing staff role modelling providing children physical activity promoting indoor outdoor environment limiting children screen recreation sedentary behaviours,C0308779|C0678594|G0000000|C0026649|C0678856|C0441655|C0442808|C0031809|C0205177|G0000000|C0442808|C0851286|C0035820|C0870071|C1999230|C0008059|C0031809|C0205177|C0033414|G0000000|G0000000|C0014406|C0439801|C0008059|C0220908|C0034872|C0205254|C0004927
its vehicle,vehicle,C0042444
Emergency Clinical Pathways ( ECP ),emergency clinical pathways ecp,C0013956|C0205210|C1704259|C3889675
tropisetron and granisetron,tropisetron granisetron,C0063322|C0061863
ixabepilone alone,ixabepilone,C1135132
sDAP solution,sdap solution,C1417631|C0037633
Amphotericin B,amphotericin,C0002679
PMT,pmt,C0376356
Dofequidar fumarate,dofequidar fumarate,C1698867|C0016801
2 % mepivacaine,2 % mepivacaine,G0000000|G0000000|C0025384
Liposome-encapsulated doxorubicin,liposome-encapsulated doxorubicin,C0023828|C0013089
robot-assisted motor learning .,robot-assisted motor learning,C3844190|C1513492|C0013621
photobiologic light-exposure chambers,photobiologic light-exposure chambers,C0242672|C0023693|C0179874
"oral JAK inhibitor tofacitinib ( CP-690,550 )",oral jak inhibitor tofacitinib cp-690 550,C0442027|C1150611|C1999216|C2930696|C4050020|C1442061
restricted feeding ),restricted feeding,C0443288|C0204695
mediastinal irradiation,mediastinal irradiation,C0025066|C1282930
Neoton,neoton,C0600301
conventional pretask procedure,conventional pretask procedure,C0439858|G0000000|C0184661
laparoscopic,laparoscopic,C0031150
resection of gross tumor,resection gross tumor,C0015252|C0439806|C0027651
antibiotic was added to the sterile physiologic solution,antibiotic sterile physiologic solution,C0003232|C0021359|C0205463|C0037633
day treatment,day treatment,C0332173|C0039798
morcellation,morcellation,C4042900
phenytoin,phenytoin,C0031507
progestogen-only,progestogen-only,C0033306
or ranitidine 150 mg,ranitidine 150,C0034665|C1442061
Enalapril,enalapril,C0014025
magnesium oxide,magnesium oxide,C0024467|C0030015
pravastatin 40 mg/day,pravastatin 40 mg/day,C0085542|C0450371|C0439422
epoetin alfa,epoetin alfa,C0014822|C0439095
lactoferrin,lactoferrin,C0022942
tetanus toxoid,tetanus toxoid,C0039614|C0040555
ventricular pacing,ventricular pacing,C0018827|C0562458
Desmopressin,desmopressin,C0011701
no-treatment control group,no-treatment control,C0039798|C0243148
5 % 5-fluorouracil,5 % 5-fluorouracil,G0000000|G0000000|C0016360
one vs two daily bouts of walking,daily bouts walking,C0332173|C0741605|C0080331
everolimus-eluting and paclitaxel-eluting stents,everolimus-eluting paclitaxel-eluting stents,C0541315|C0144576|C0038257
intramedullary nailing,intramedullary nailing,C1512957|C0021885
Memory aids,memory aids,C0025260|C0001175
"prepackaged , low residual test meals with 4L polyethylene glycol",prepackaged low residual test meals 4l polyethylene glycol,G0000000|C0205251|C1609982|C0022885|C1998602|C4053562|C0032487|C0017945
mizolastine and loratadine,mizolastine loratadine,C0171302|C0065180
captopril,captopril,C0006938
physiological saline,physiological saline,C0205463|C0036082
QLQ-C30,qlq-c30,G0000000
not in sheltered workshops,sheltered workshops,C0150767|C0242262
Levobunolol,levobunolol,C0006388
cyclosporin-treated,cyclosporin-treated,C0010592
"dexamethasone 24 mg days 1-7 , melphalan 30 mg/m2 day 3 , BCNU 60 mg/m2 day 3 , etoposide 75 mg/m2 days 4-7 , Ara-C 100 mg/m2 twice daily days 4-7 ( Dexa-BEAM )",dexamethasone 24 days 1-7 melphalan 30 mg/m2 day 3 bcnu 60 mg/m2 day 3 etoposide 75 mg/m2 days 4-7 ara-c 100 mg/m2 daily days 4-7 dexa-beam,C0011777|C0450371|C0439228|G0000000|C0025241|C0450371|C0026410|C0332173|G0000000|C0007257|C0450371|C0026410|C0332173|G0000000|C0015133|C0450371|C0026410|C0439228|G0000000|C0733521|C1442061|C0026410|C0332173|C0439228|G0000000|C0906090
GH-releasing hormone alone,gh-releasing hormone,C0033993|C0019932
insulin,insulin,C0021641
Inspection by direct palpation,inspection direct palpation,C0199219|C0439851|C0030247
Insecticide-treated bednets,insecticide-treated bednets,C0021576|G0000000
PPI,ppi,C0358591
"instruction and therapeutic activities targeting social skills , face-emotion recognition , interest expansion , and interpretation of non-literal language .",instruction therapeutic activities targeting social skills face-emotion recognition expansion interpretation non-literal language,C0039401|C0087111|C0441655|C1521840|C0728831|C0678856|C0015450|C0524637|G0000000|C0459471|C1518422|C0023008
real injection,real injection,C0237400|C0021485
extubation,extubation,C0553891
Ganda 1.0/0.2,ganda 1 0/0 2,G0000000|G0000000|G0000000|G0000000
transfusion with leucocyte-depleted,transfusion leucocyte-depleted,C0005841|C0023516
PPS,pps,G0000000
L-citrulline,l-citrulline,C0008864
manualized 12-week supportive-expressive group therapy,manualized 12-week supportive-expressive therapy,G0000000|C0450371|C1521721|C0039798
oral contraceptive ( OC ),oral contraceptive oc,C0442027|C0009871|C1412791
both the cellular phone and the Internet to send short message service,cellular phone internet send short message service,C0007634|C1515258|C0282111|C1519246|C1282927|C0470166|C0557854
transdermal glyceryl trinitrate,transdermal glyceryl trinitrate,C0040652|G0000000|G0000000
group versus individual cognitive behavioural therapy,versus individual cognitive behavioural therapy,G0000000|C0027361|C1516691|C0004927|C0039798
5 g 2.5 % lidocaine and 2.5 % prilocaine cream,5 2 5 % lidocaine 2 5 % prilocaine cream,G0000000|G0000000|G0000000|G0000000|C0023660|G0000000|G0000000|G0000000|C0033124|C0700385
Tracheal tube placement,tracheal tube placement,C0040578|C0175730|C0441587
High-intensity physical training,high-intensity physical training,C4081854|C0031809|C0040607
amlodipine maleate or amlodipine besylate,amlodipine maleate amlodipine besylate,C0051696|C0220874|C0051696|C0005040
no distraction intervention ( control condition ),distraction intervention control condition,C0150189|C0886296|C0243148|C0012634
penicillin therapy,penicillin therapy,C0030827|C0039798
etidocaine,etidocaine,C0015120
static stretching,static stretching,C0441463|C0600080
