third stage of labor,stage labor,C0205390|C0022864
rheumatoid arthritis ( RA ),rheumatoid arthritis ra,G0000000|C0003864|C3538806
peoscopy,peoscopy,G0000000
sedation,sedation,C0235195
Forty-eight,forty-eight,C3816449
between 1.7 and 11 y,1 7 11,G0000000|G0000000|C0450371
naive and pre-immunized,naive pre-immunized,G0000000|C0332152
earthquake-related posttraumatic stress disorder,earthquake-related posttraumatic stress disorder,C0013463|G0000000|C0038435|C0012634
methamphetamine users,methamphetamine users,C0025611|C1706077
patients undergoing cholecystectomy,patients undergoing cholecystectomy,C0030705|G0000000|C0008320
primary care clinicians serving children,primary care clinicians serving children,C0205225|C1947933|C0871685|C1519269|C0008059
Forty,forty,C3816449
18 and 65 years,18 65,C0450371|C0450371
240 patients,240 patients,C1442061|C0030705
86 pediatric,86 pediatric,C0450371|C0030755
massive spleen involvement,massive spleen involvement,C0522501|C0037993|C1314939
acute symptomatic falciparum malaria .,acute symptomatic falciparum malaria,C0205178|C0231220|G0000000|C0024530
female stress urinary incontinence ( SUI ),female stress urinary incontinence sui,C0015780|C0038435|C0042027|C0021167|G0000000
One hundred twenty-one men,twenty-one,C3715213
dermal closure of the Pfannenstiel incision,dermal closure pfannenstiel incision,C0221928|C0185003|G0000000|C0184898
craniotomy,craniotomy,C0010280
patients at high risk for the fat embolism syndrome,patients risk fat embolism syndrome,C0030705|C0035647|C0424612|C0013922|C0039082
ulcers,ulcers,C0041582
42.5 years ),42 5,C0450371|G0000000
caries,caries,C0011334
coronary artery disease,coronary artery disease,C0018787|C0003842|C0012634
23 essential hypertensive,23 essential hypertensive,C0450371|C0205224|C0857121
Twenty six,twenty,C0724000
BCT and 50Gy whole breast irradiation,bct 50gy breast irradiation,C0917927|G0000000|C0006141|C1282930
hyperparasitaemia,hyperparasitaemia,G0000000
growth hormone deficient adults,growth hormone deficient adults,C0018270|C0019932|C0011155|C0001675
246 cancer,246 cancer,C1442061|C0006826
negative MRA results .,negative mra,C0205160|C0243032
serious systemic infections,systemic infections,C0205373|C3714514
locally advanced head and neck cancer,locally advanced head neck cancer,C1517927|C0205179|C0018670|C0027530|C0006826
small cell lung cancer,cell lung cancer,C0007634|C0024109|C0006826
stem cell transplant,stem cell transplant,C0242767|C0007634|C0040732
infantile,infantile,C0231330
children with autistic spectrum disorder .,children autistic spectrum disorder,C0008059|C0004352|C1883073|C0012634
Twenty-one HIV-seropositive,twenty-one hiv-seropositive,C3715213|C0019699
nasal polyposis,nasal polyposis,C0028429|C0334108
main-stem and main-stem-equivalent stenosis,main-stem main-stem-equivalent stenosis,C0205225|C0205225|C0678234
urogenital atrophy,urogenital atrophy,C0042066|C0333641
persons using interdental brushing than in those flossing,persons interdental brushing flossing,C0027361|C0442104|C0040461|C1880794
severe atopic dermatitis in adults :,severe atopic dermatitis adults,C0205082|C0392707|C0011603|C0001675
cryptosporidial diarrhoea,cryptosporidial diarrhoea,C1744526|C0011991
patients with coronary heart disease,patients coronary heart disease,C0030705|C0018787|C0018787|C0012634
speech intelligibility measurements,speech intelligibility measurements,C0037817|C0589416|C0242485
functional dyspepsia,functional dyspepsia,C0205245|C0013395
eight males,males,C0086582
chronic heartburn,chronic heartburn,C0205191|C0018834
unstable angina pectoris,unstable angina pectoris,C0443343|C0002962|G0000000
membrane leads,membrane leads,C0025255|C0023175
893,893,C1442061
Syncope,syncope,C0039070
"Seventy-six patients took part in a randomized , comparative study of the efficacy of buflomedil hydrochloride and dihydrogenated ergot alkaloids in the treatment of senile dementia associated with cerebrovascular insufficiency .",seventy-six patients randomized comparative study efficacy buflomedil hydrochloride dihydrogenated ergot alkaloids treatment senile dementia cerebrovascular insufficiency,C3816957|C0030705|C0034656|G0000000|C0557651|C1280519|C0054207|C1512523|G0000000|C0086247|C0002062|C0039798|C0392079|C0011265|C1880018|C0231179
were randomized into 2 groups ;,randomized 2,C0034656|G0000000
104 women,104 women,C1442061|C0043210
postoperative dental pain,postoperative dental pain,C0032790|C0011365|C0030193
older women,women,C0043210
intubated and mechanically ventilated patients,intubated mechanically ventilated patients,G0000000|G0000000|C0231923|C0030705
8 male,8 male,G0000000|C0086582
25 insulin-withdrawal,25 insulin-withdrawal,C0450371|C0021641
low dose intravenous urography,low dose intravenous urography,C0205251|C0178602|C0348016|C0042070
acne,acne,C0001144
carcinoma,carcinoma,C0007097
mild-to-moderate heart failure,mild-to-moderate heart failure,C1299392|C0018787|C0231174
raised intraocular pressure ( IOP ),raised intraocular pressure iop,C0442818|C3282905|C0033095|C0595921
Eighty pregnant,pregnant,C0549206
postherpetic neuralgic,postherpetic neuralgic,G0000000|C0027796
long-term risk of SCD,long-term risk scd,C0443252|C0035647|G0000000
non-metastatic breast cancer,non-metastatic breast cancer,C1518422|C0006141|C0006826
pulmonary vascular bed,pulmonary vascular bed,C0024109|C0005847|C0004916
prolonged anaesthesia,prolonged anaesthesia,C0439590|C0002903
women taking estradiol/trimegestone or estradiol/dydrogesterone,women estradiol/trimegestone estradiol/dydrogesterone,C0043210|C0014912|C0014912
One-hundred-twenty-four adult,one-hundred-twenty-four adult,C0205447|C0001675
eczema,eczema,C0013595
51.1 years,51 1,C0450371|G0000000
chronic CME,chronic cme,C0205191|G0000000
pregnant,pregnant,C0549206
severe polyarteritis nodosa ( PAN ) and Churg-Strauss syndrome ( CSS ),severe polyarteritis nodosa pan churg-strauss syndrome css,C0205082|C0264992|G0000000|C0085999|C0008728|C0039082|C0265338
CAPD peritonitis,capd peritonitis,C0031140|C0031154
56 patients,56 patients,C0450371|C0030705
couples,couples,C0010222
55 boys,55 boys,C0450371|C0870221
osteoporosis,osteoporosis,C0029456
severely obese adolescents .,severely obese adolescents,C0205082|C0028754|C0205653
Forty-nine chemotherapy-naive,forty-nine chemotherapy-naive,C3816450|C0013216
"4,724",4 724,G0000000|C1442061
no collateral flow on angiography,collateral flow angiography,C1275670|C0806140|C0002978
insulin-dependent diabetes,insulin-dependent diabetes,C0021641|C0011847
undergoing percutaneous coronary intervention,undergoing percutaneous coronary intervention,G0000000|C0522523|C0018787|C0886296
610 foreign-born,610 foreign-born,C1442061|C0376327
respiratory difficulties,respiratory difficulties,C0521346|C1299586
Forty-eight bronchial carcinoma,forty-eight bronchial carcinoma,C3816449|C0205039|C0007097
neurodevelopmental disorders .,neurodevelopmental disorders,C0599855|C0012634
untreated irreversible pulpitis .,untreated irreversible pulpitis,C0332155|G0000000|C0034103
mouth cancers,mouth cancers,C0226896|C0006826
olanzapine,olanzapine,C0171023
shortness of breath,shortness breath,C1282927|C0225386
untreated anxiety,untreated anxiety,C0332155|C0003467
5238,5238,G0000000
autism spectrum disorder ( ASD ),autism spectrum disorder asd,C0004352|C1883073|C0012634|C0003516
acutely exacerbating schizophrenic or schizoaffective patients,acutely exacerbating schizophrenic schizoaffective patients,G0000000|C0436331|G0000000|G0000000|C0030705
warts,warts,C1367460
hypertensive pregnancy,hypertensive pregnancy,C0857121|C0032961
bronchial hyperreactivity,bronchial hyperreactivity,C0205039|G0000000
35 women with axillary hair,35 women axillary hair,C0450371|C0043210|C0004454|C0018494
orthopedic surgeries,orthopedic surgeries,C0029355|C0543467
postmenopausal women,postmenopausal women,C0232970|C0043210
hookworm infection,hookworm infection,C0002830|C0009450
Pneumocystis carinii pneumonia ( PCP ),pneumocystis carinii pneumonia pcp,C0597258|G0000000|C0032285|C1535939
patients with non-small cell lung cancer not suitable for curative therapy :,patients non-small cell lung cancer suitable curative therapy,C0030705|C1518422|C0007634|C0024109|C0006826|C3900053|C1880198|C0039798
chronically hospitalized,chronically hospitalized,G0000000|C0701159
DSM IV clinical diagnosis of autism,dsm iv clinical diagnosis autism,G0000000|C0022326|C0205210|C0011900|C0004352
high risk of giving birth prematurely,risk birth prematurely,C0035647|C0005615|G0000000
1397 antiretroviral-treatment-naive,1397 antiretroviral-treatment-naive,G0000000|C0039798
mitral valve replacement,mitral valve replacement,C0746591|C0184252|C0035139
Thirty-eight mechanically ventilated patients with documented nosocomial pneumonia,thirty-eight mechanically ventilated patients documented nosocomial pneumonia,C3816446|G0000000|C0231923|C0030705|C1301725|C0019994|C0032285
60 evaluable subjects,60 evaluable subjects,C0450371|C1516986|C0681850
cetuximab-related facial rash .,cetuximab-related facial rash,C0995188|C0015450|C0015230
Male,male,C0086582
OPSCC,opscc,G0000000
persons with chronic heart failure,persons chronic heart failure,C0027361|C0205191|C0018787|C0231174
chronic HF,chronic hf,C0205191|C0018488
A hundred and one,NULL,NULL
schizophrenics,schizophrenics,C3825704
One hundred and seventy patients,seventy patients,C3816957|C0030705
acute venous thromboembolism,acute venous thromboembolism,C0205178|C0042449|C0040038
hepatitis C infection,hepatitis infection,C0019158|C0009450
long-term state hospital inpatients,long-term hospital inpatients,C0443252|C0019994|C0021562
acute low back pain,acute low pain,C0205178|C0205251|C0030193
pregnancy,pregnancy,C0032961
169 previously untreated,169 untreated,C1442061|C0332155
human immunodeficiency virus infection,human immunodeficiency virus infection,C0086418|C0021051|C0042776|C0009450
relapsed Hodgkin 's disease,relapsed hodgkin disease,C0205336|G0000000|C0012634
males,males,C0086582
retrobulbar anesthesia,retrobulbar anesthesia,C0230065|C0002903
22-36 years,22-36,C0450371
major adult spinal surgery,major adult spinal surgery,C0205082|C0001675|C0521329|C0038894
esophageal or gastric carcinomas,esophageal gastric carcinomas,C1522619|C0038351|C0007097
outpatients,outpatients,C0029921
post-operative pain,post-operative pain,C0032790|C0030193
"1,862",1 862,G0000000|C1442061
16 women,16 women,C0450371|C0043210
244 men,244,C1442061
orthognathic,orthognathic,C2825968
IBS,ibs,C0022104
Eighty-seven,eighty-seven,C3816958
after myocardial infarction,myocardial infarction,C0027061|C0021308
One hundred patients,patients,C0030705
fat embolism syndrome,fat embolism syndrome,C0424612|C0013922|C0039082
11 482,11 482,C0450371|C1442061
peritonsillar abscess,peritonsillar abscess,C1550298|C0000833
42 patients,42 patients,C0450371|C0030705
handicapped child,handicapped child,C0018576|C0008059
Group B,NULL,NULL
partners,partners,C0682323
41 normotensive advanced solid tumor patients,41 normotensive advanced solid tumor patients,C0450371|C2712122|C0205179|C0205208|C0027651|C0030705
stage III decubitus ulcers,stage iii decubitus ulcers,C0205390|C0439070|C0442303|C0041582
20-60,20-60,C0450371
aged 4-10 years,aged 4-10,C0001779|C0450371
small-cell lung cancer,small-cell lung cancer,C0700321|C0024109|C0006826
20-35,20-35,C0450371
IDA,ida,C0020789
chemical diabetic women,chemical diabetic women,C0220806|C0241863|C0043210
31 healthy,31 healthy,C0450371|C3898900
pregnant women,pregnant women,C0549206|C0043210
Teenagers,teenagers,C0205653
Indian kala-azar patients,indian kala-azar patients,C1524069|C0023290|C0030705
Four hundred seventeen anthracycline-naive MBC,seventeen anthracycline-naive mbc,C0450331|C0003234|C0065839
61-86 years,61-86,C0450371
prevention program,prevention program,C0199176|C1709697
Kansas 1 flea,kansas 1 flea,C0022497|G0000000|C0016228
HIV seropositive,hiv seropositive,C0019682|C0521143
moderate to severe congestive heart failure,moderate severe congestive heart failure,C0205081|C0205082|C0742742|C0018787|C0231174
high functioning autism,functioning autism,C0205245|C0004352
age-associated memory impairment,age-associated memory impairment,C0001779|C0025260|C0221099
One hundred and fifty,fifty,C3816723
antihypertensive medications,antihypertensive medications,C0003364|C0013227
CTTH,ctth,G0000000
"1,820",1 820,G0000000|C1442061
38 patients,38 patients,C0450371|C0030705
Ascaris,ascaris,C0003954
54 years,54,C0450371
non-small-cell lung cancer ( NSCLC ),non-small-cell lung cancer nsclc,C0445128|C0024109|C0006826|C0007131
anxious outpatients,anxious outpatients,C0003467|C0029921
gastric,gastric,C0038351
"5,000",5 000,G0000000|C1442061
two or more prevalent vertebral fractures,prevalent vertebral fractures,C0033105|C0549207|C0016658
acute sinusitis,acute sinusitis,C0205178|C0037199
oropharyngeal cancers,oropharyngeal cancers,C0521367|C0006826
non-slotted nails,non-slotted nails,C1518422|C0027342
mild-to-moderate persistent asthma,mild-to-moderate persistent asthma,C1299392|C0205322|C0004096
high-risk patients,high-risk patients,C0332167|C0030705
pediatric patients,pediatric patients,C0030755|C0030705
university students,university students,C0041740|C0038492
Newborns,newborns,C0021289
crying,crying,C0010399
non-erosive reflux disease,non-erosive reflux disease,C0445143|C0017168|C0012634
high-functioning ASD,high-functioning asd,C0205250|C0003516
Hypertension,hypertension,C0020538
n = 160,= 160,G0000000|C1442061
Deep vein thrombosis,deep vein thrombosis,C0205125|C0042449|C0040053
tennis elbow,tennis elbow,C0039515|C0013769
31 ( 24 % ),31 24 %,C0450371|C0450371|G0000000
colorectal carcinoma,colorectal carcinoma,C0555952|C0007097
Sixty lower rectal cancer,sixty lower rectal cancer,C3816724|C0441994|C0205052|C0006826
Thai adults,thai adults,C0337910|C0001675
50 posttraumatic intensive-care,50 posttraumatic intensive-care,C0450371|G0000000|C0085559
45 to 85,45 85,C0450371|C0450371
mild to moderate hypertension,mild moderate hypertension,C2945599|C0205081|C0020538
squamous cell carcinomas of the head and neck,squamous cell carcinomas head neck,C1182670|C0007634|C0007097|C0018670|C0027530
acid-eroded dentine,acid-eroded dentine,C0001128|C0011429
symptomatic reflux esophagitis,symptomatic reflux esophagitis,C0231220|C0017168|C0014868
Laryngeal Mask Airway insertion,laryngeal mask airway insertion,C0023078|C0024861|C0178987|C0021107
Two hundred ninety-four patients,ninety-four patients,C3816959|C0030705
first-time donors,first-time donors,C0205435|C0013018
PSL-LBNP,psl-lbnp,C0024047
6-11,6-11,C0450371
Autism Spectrum Disorders ( ASD ),autism spectrum disorders asd,C0004352|C1883073|C0012634|C0003516
pre-school children with autism,pre-school children autism,C0424930|C0008059|C0004352
Eighty-four,eighty-four,C3816958
69 artificially ventilated,69 artificially ventilated,C0450371|G0000000|C0231923
13-18 year olds,13-18 olds,C0450371|C0580836
stage III or IV gastric cancer,stage iii iv gastric cancer,C0205390|C0439070|C0022326|C0038351|C0006826
parturients,parturients,G0000000
inoperable stage 3 ovarian cancers,inoperable stage 3 ovarian cancers,C0205187|C0205390|G0000000|C0205065|C0006826
Eight young adults who were diagnosed with autism,adults diagnosed autism,C0001675|C0011900|C0004352
dyspeptic symptoms,dyspeptic symptoms,G0000000|C0683368
AIDS-related complex ( ARC ),aids-related complex arc,C0001175|C0439855|G0000000
"146 non-institutionalized , undernourished",146 non-institutionalized undernourished,C1442061|C1518422|C0162429
53 women,53 women,C0450371|C0043210
88 adult,88 adult,C0450371|C0001675
direct hernias,direct hernias,C0439851|C0019270
intermittent claudication ( stages IIa and IIb of Fontaine 's PAD classification ),intermittent claudication stages iia iib fontaine pad classification,C0205267|C0311395|C1306673|G0000000|G0000000|G0000000|C0182158|C0008902
Eighteen,eighteen,C3715206
central nervous system ( CNS ) leukemia,central nervous system cns leukemia,C0205099|C0027769|C0449913|C3714787|C0023418
nonsmokers,nonsmokers,C0337672
Children ages 6-12 with,children ages 6-12,C0008059|C0001779|C0450371
12 healthy volunteers who underwent gastric bypass surgery .,12 healthy volunteers underwent gastric bypass surgery,C0450371|C3898900|C0042960|G0000000|C0038351|C0741847|C0038894
HIV-infected,hiv-infected,C0019682
Seventy primary IgAN,seventy primary igan,C3816957|C0205225|C3160719
Twenty ulcerative colitis,twenty ulcerative colitis,C0724000|C0041582|C0009319
"study on subjects with symmetric , bilateral interdigital tinea pedis .",study subjects symmetric bilateral interdigital tinea pedis,C0557651|C0681850|C0332516|C0238767|C0442105|C0040247|G0000000
Hodgkin 's disease,hodgkin disease,G0000000|C0012634
other neurologic,neurologic,C0205494
exercise,exercise,C0015259
ruptured cerebral aneurysms,ruptured cerebral aneurysms,C0443294|G0000000|C0002940
brain injury,brain injury,C0006104|C3263722
acute lymphoblastic leukaemia ( ALL ),acute lymphoblastic leukaemia,C0205178|C0229613|C0023418
ophthalmic,ophthalmic,C0015392
younger patients,patients,C0030705
hypoglycemia,hypoglycemia,C0020615
acute lower respiratory infection,acute lower respiratory infection,C0205178|C0441994|C0521346|C0009450
tubal EP,tubal ep,C0175730|G0000000
subjects who had received their last diphtheria vaccination more than 10 years ago .,subjects received diphtheria vaccination 10 ago,C0681850|C1514756|C0012546|C0042196|C0450371|G0000000
Two hundred eighteen,eighteen,C3715206
who require long-term ventilation in the Intensive Care Unit,require long-term ventilation intensive care unit,G0000000|C0443252|C0035203|C0162425|C1947933|C0439148
primary digestive lymphoma,primary digestive lymphoma,C0205225|C0012238|C0024299
lymphoblastic leukemia,lymphoblastic leukemia,C0229613|C0023418
residual disease,residual disease,C1609982|C0012634
persistent conduct problems,persistent conduct,C0205322|C0004927
full syndrome,syndrome,C0039082
trapped lungs,trapped lungs,C3853505|C0024109
acute optic neuritis,acute optic neuritis,C0205178|C0015392|C0027813
whooping cough,whooping cough,C0425485|C0010200
FIGO stage IB2-IVA cervical cancer or with postsurgical pelvic recurrence,figo stage ib2-iva cervical cancer postsurgical pelvic recurrence,C2983134|C0205390|C0268575|C0027530|C0006826|G0000000|C0030797|C0034897
ipsilateral renal cell carcinoma,ipsilateral renal cell carcinoma,C0441989|C0022646|C0007634|C0007097
"symptomatic , smoking-related COPD",symptomatic smoking-related copd,C0231220|C0037369|C0024117
treatment-resistant aggressive children .,treatment-resistant aggressive children,C0039798|C0001807|C0008059
patients with advanced disease no longer responsive to hormonal treatment,patients advanced disease responsive hormonal treatment,C0030705|C0205179|C0012634|C0205342|C0458083|C0039798
knee disorders requiring arthroscopy,knee disorders requiring arthroscopy,C0022742|C0012634|G0000000|C0003904
7 to 9 years,7 9,G0000000|G0000000
infectious and inflammatory complications,infectious inflammatory complications,C0009450|C0333348|C0009566
patients with small-cell lung cancer,patients small-cell lung cancer,C0030705|C0700321|C0024109|C0006826
Thailand .,thailand,C0039725
postmenopausal women who had received alendronate daily or weekly in tablets with or without enteric coating .,postmenopausal women received alendronate daily weekly tablets enteric coating,C0232970|C0043210|C1514756|C0102118|C0332173|C0332174|C0039225|C1304890|C1522408
Hematologic,hematologic,C0018943
menopause,menopause,C0025320
heifers,heifers,C3669723
pervasive developmental disorders ( PDDs ) .,pervasive developmental disorders pdds,C0205391|C0458003|C0012634|C3826971
96 partners,96 partners,C0450371|C0682323
susceptible ( hemagglutination-inhibition antibody titer,susceptible hemagglutination-inhibition antibody titer,C0220898|C0018904|C0003241|C0475208
first-line treatment of women with metastatic breast cancer ( MBC ) .,first-line treatment women metastatic breast cancer mbc,C0205435|C0039798|C0043210|C0036525|C0006141|C0006826|C0065839
heart failure,heart failure,C0018787|C0231174
liver disease,liver disease,C0023884|C0012634
hypoxic cor pulmonale,hypoxic cor pulmonale,C0242184|C0018787|G0000000
pretransplant status and transplant-related complications .,pretransplant status transplant-related complications,G0000000|C0449438|C0040732|C0009566
psychogenic nonepileptic seizures ( PNES,psychogenic nonepileptic seizures pnes,C0458006|G0000000|C0036572|C3489398
haemorrhoids,haemorrhoids,C0019112
advanced cervical carcinoma,advanced cervical carcinoma,C0205179|C0027530|C0007097
Thirteen emmetropic,thirteen emmetropic,C3715149|C0234622
forty-eight women,forty-eight women,C3816449|C0043210
212 TKA,212 tka,C1442061|G0000000
vasculogenic sexual dysfunction,vasculogenic sexual dysfunction,C1123009|C0036864|C0031847
Active chronic suppurative otitis media,active chronic suppurative otitis media,C0205177|C0205191|C3203360|C0029877|C0009458
control group ( n = 25 ),control = 25,C0243148|G0000000|C0450371
gastro-oesophageal adenocarcinoma,gastro-oesophageal adenocarcinoma,C0744316|C0001418
autistic disorder,autistic disorder,C0004352|C0012634
diabetes mellitus,diabetes mellitus,C0011847|G0000000
Twenty seven,twenty,C0724000
malaria,malaria,C0024530
age=52.6+/-10 years,age=52 6+/-10,C0001779|C0450371
Nineteen ragweed-sensitive,nineteen ragweed-sensitive,C0450337|C0331432
acute lymphocytic leukemia,acute lymphocytic leukemia,C0205178|C0024264|C0023418
esophageal varices .,esophageal varices,C1522619|C0042345
respiratory exacerbations,respiratory exacerbations,C0521346|G0000000
respiratory tract infection,respiratory tract infection,C0521346|C1185740|C0009450
46 boys,46 boys,C0450371|C0870221
hepatic damage,hepatic damage,C0205054|C0010957
36 eyes of 34 patients,36 eyes 34 patients,C0450371|C0015392|C0450371|C0030705
one female,female,C0015780
dentinal cold sensitivity,dentinal cold sensitivity,C0011429|C0009264|C0020517
32-64 years old and 55 age-,32-64 55 age-,C0450371|C0450371|C0001779
behaviorally disordered mentally handicapped,behaviorally disordered mentally handicapped,G0000000|C0012634|G0000000|C0018576
insomniacs,insomniacs,G0000000
IOP,iop,C0595921
0.5 % timolol,0 5 % timolol,G0000000|G0000000|G0000000|C0040233
colposcopy,colposcopy,C0009417
acute thrombosed circumferential prolapsed haemorrhoids,acute thrombosed circumferential prolapsed haemorrhoids,C0205178|C0040053|C0205113|C0033377|C0019112
malnourished,malnourished,C0162429
nonmelanoma skin cancer,nonmelanoma skin cancer,G0000000|C0444099|C0006826
Eight male,male,C0086582
depression,depression,C0011570
Thirty-six children,thirty-six children,C3816446|C0008059
myometrial invasion,myometrial invasion,C0521387|C1269955
septic and SIRS,septic sirs,C0333534|C0242966
One hundred seventy-seven women,seventy-seven women,C3816957|C0043210
angina,angina,C0002962
ischemic heart disease,ischemic heart disease,C0475224|C0018787|C0012634
boys,boys,C0870221
European Americans were more accurate than were Asian Americans,european americans accurate asian americans,C0239307|C0596070|C0443131|C0078988|C0596070
lymphoblastic,lymphoblastic,C0229613
10 adult healthy,10 adult healthy,C0450371|C0001675|C3898900
severe CHF,severe chf,C0205082|C0018802
hypertensive patients,hypertensive patients,C0857121|C0030705
fragile x syndrome,fragile syndrome,C0302113|C0039082
foot ulcers,foot ulcers,C0016504|C0041582
anthracycline-pretreated patients with MBC,anthracycline-pretreated patients mbc,C0003234|C0030705|C0065839
endotracheal intubation,endotracheal intubation,C0599554|C0021925
curative resection,curative resection,C1880198|C0015252
haloperidol in autism,haloperidol autism,C0018546|C0004352
918,918,C1442061
transient renal dysfunction,transient renal dysfunction,C0040704|C0022646|C0031847
Ten males,ten males,C0014518|C0086582
metastatic colorectal cancer with cetuximab facial rash,metastatic colorectal cancer cetuximab facial rash,C0036525|C0555952|C0006826|C0995188|C0015450|C0015230
2416 infants,2416 infants,G0000000|C0021270
3527,3527,G0000000
mild to severe acne,mild severe acne,C2945599|C0205082|C0001144
hyperlipidemic men,hyperlipidemic,G0000000
polycystic ovary syndrome ( PCOS ),polycystic ovary syndrome pcos,C3273362|C0029939|C0039082|C0032460
Eighteen diabetic,eighteen diabetic,C3715206|C0241863
923,923,C1442061
dilated left atrium,dilated left atrium,C0700124|C0205091|C0018792
blunt trauma patients with head injuries ;,blunt trauma patients head injuries,C1997138|C0043251|C0030705|C0018670|C1510467
autistic children,autistic children,C0004352|C0008059
parasite burden,parasite burden,C0030498|C2828008
metastatic colorectal cancer .,metastatic colorectal cancer,C0036525|C0555952|C0006826
fifty-six,fifty-six,C3816723
keratosis pilaris,keratosis pilaris,C0022593|G0000000
undergoing elective spinal surgery,undergoing elective spinal surgery,G0000000|C0206058|C0521329|C0038894
diphtheria/pertussis/tetanus,diphtheria/pertussis/tetanus,C1277100
PBSCT,pbsct,G0000000
930,930,C1442061
psychosocial intervention program,psychosocial intervention program,C0542298|C0886296|C1709697
28 TMJ,28 tmj,C0450371|G0000000
autistic children 's,autistic children,C0004352|C0008059
6 females,6 females,G0000000|C0015780
Turner syndrome,turner syndrome,G0000000|C0039082
average age of fifty years,average age fifty,C1510992|C0001779|C3816723
patients with colonic injury,patients colonic injury,C0030705|C0009368|C3263722
opioid physical dependence,opioid physical dependence,C0242402|C0031809|C0011546
29 male,29 male,C0450371|C0086582
high-grade gliomas,high-grade gliomas,C0205082|C0017638
hereditary androgenic alopecia,hereditary androgenic alopecia,C0439660|C0002844|C0002170
unilateral inguinal herniorrhaphy,unilateral inguinal herniorrhaphy,C0205092|C0018246|C0019328
higher-functioning autism,higher-functioning autism,C0205250|C0004352
duodenal ulcer,duodenal ulcer,C0013303|C0041582
gamma locking nail,gamma locking nail,C0017011|C1550024|C0027342
mild acute pancreatitis .,mild acute pancreatitis,C2945599|C0205178|C0030305
SCCHN,scchn,C1168401
acute ( < 72 hours ) aneurysmal subarachnoid hemorrhage ( SAH ),acute < 72 hours aneurysmal subarachnoid hemorrhage sah,C0205178|G0000000|C0450371|C0439227|C0439651|C1515008|C0019080|C0036001
colorectal carcinogenesis,colorectal carcinogenesis,C0555952|C0596263
physical stress,physical stress,C0031809|C0038435
diabetic nephropathy .,diabetic nephropathy,C0241863|C0022658
"age of cases were 43.2 ( 25-70 ) , 40.1 ( 25-73 ) , and 44 ( 25-70 ) years",age 43 2 25-70 40 1 25-73 44 25-70,C0001779|C0450371|G0000000|C0450371|C0450371|G0000000|C0450371|C0450371|C0450371
surgical,surgical,C0543467
"1,137",1 137,G0000000|C1442061
Fifteen atopic asthmatics,fifteen atopic asthmatics,C3715153|C0392707|C0004096
clomipramine,clomipramine,C0009010
stable COPD,stable copd,C0205360|C0024117
One hundred and eleven,eleven,C0205457
prolonged neutropenia,prolonged neutropenia,C0439590|C0023530
3 and 4 years,3 4,G0000000|G0000000
12 subjects,12 subjects,C0450371|C0681850
outpatient inguinal hernia,outpatient inguinal hernia,C0029921|C0018246|C0019270
unstable,unstable,C0443343
anxiety,anxiety,C0003467
32 +/- 7 yrs ( mean +/- SD,32 +/- 7 yrs +/- sd,C0450371|G0000000|G0000000|G0000000|G0000000|C2699239
Younger,NULL,NULL
IgAN of deficiency of Yin,igan deficiency yin,C3160719|C0011155|C2945618
18 healthy women,18 healthy women,C0450371|C3898900|C0043210
AFF,aff,G0000000
mild cognitive impairment :,mild cognitive impairment,C2945599|C1516691|C0221099
30 and 50,30 50,C0450371|C0450371
One-hundred and twenty bovine root dentine slabs,one-hundred twenty bovine root dentine slabs,C0205447|C0724000|C0007452|C0040452|C0011429|C0183335
patients randomized to atorvastatin 80 mg or pravastatin 40 mg after ACS in,patients randomized atorvastatin 80 pravastatin 40 acs,C0030705|C0034656|C0286651|C0450371|C0085542|C0450371|G0000000
polycystic ovarian syndrome,polycystic ovarian syndrome,C3273362|C0205065|C0039082
steroid-dependent asthma,steroid-dependent asthma,C0038317|C0004096
Ten subjects,ten subjects,C0014518|C0681850
46 femoral shaft fractures,46 femoral shaft fractures,C0450371|C0015811|C0337141|C0016658
age 6,age 6,C0001779|G0000000
eight patients with L-dopa-induced peak-dose dyskinesia,patients l-dopa-induced peak-dose dyskinesia,C0030705|C0023570|C0444505|C0013384
61 ASA physical status I-III patients,61 asa physical status i-iii patients,C0450371|C0004057|C0031809|C0449438|C0021966|C0030705
in stroke patients ],stroke patients,C0038454|C0030705
treatment ( n = 100 ),treatment = 100,C0039798|G0000000|C1442061
bronchial asthma,bronchial asthma,C0205039|C0004096
established osteoporosis,established osteoporosis,C0443211|C0029456
six,NULL,NULL
men and women,women,C0043210
lymphoma,lymphoma,C0024299
permanent atrial fibrillation,permanent atrial fibrillation,C0205355|C0018792|C0232197
male alcoholic,male alcoholic,C0086582|C0687725
pervasive developmental disorder,pervasive developmental disorder,C0205391|C0458003|C0012634
"coronary disease ,",coronary disease,C0018787|C0012634
stroke,stroke,C0038454
severe chronic congestive heart failure,severe chronic congestive heart failure,C0205082|C0205191|C0742742|C0018787|C0231174
children with PAH .,children pah,C0008059|C3203102
reflux oesophagitis,reflux oesophagitis,C0017168|C0014868
986,986,C1442061
type 1 diabetes mellitus .,type 1 diabetes mellitus,C0332307|G0000000|C0011847|G0000000
other musculoskeletal,musculoskeletal,C0497254
autism spectrum disorders .,autism spectrum disorders,C0004352|C1883073|C0012634
humans,humans,C0086418
age=10.1,age=10 1,C0001779|G0000000
phacoemulsification,phacoemulsification,C0282545
patients with nosocomial pneumonia,patients nosocomial pneumonia,C0030705|C0019994|C0032285
